List of Inventory. 
Aisle code: 010191, Prod Code: 1, Brand Code: 91, Name: Luisiana, Stock Amount: 14, Is Basic product: 1
Aisle code: 010389, Prod Code: 3, Brand Code: 89, Name: Rojitos, Stock Amount: 4, Is Basic product: 1
Aisle code: 010606, Prod Code: 6, Brand Code: 6, Name: PValidacion2, Stock Amount: 0, Is Basic product: 1
Aisle code: 010686, Prod Code: 6, Brand Code: 86, Name: SalSol, Stock Amount: 8, Is Basic product: 1
Aisle code: 020785, Prod Code: 7, Brand Code: 85, Name: Verdurin, Stock Amount: 50, Is Basic product: 0
Aisle code: 020884, Prod Code: 8, Brand Code: 84, Name: Verdurin, Stock Amount: 70, Is Basic product: 0
Aisle code: 020983, Prod Code: 9, Brand Code: 83, Name: Verdurin, Stock Amount: 2, Is Basic product: 0
Aisle code: 021082, Prod Code: 10, Brand Code: 82, Name: Verdurin, Stock Amount: 0, Is Basic product: 1
Aisle code: 021181, Prod Code: 11, Brand Code: 81, Name: Verdurin, Stock Amount: 80, Is Basic product: 1
Aisle code: 021280, Prod Code: 12, Brand Code: 80, Name: Verdurin, Stock Amount: 1, Is Basic product: 0
Aisle code: 021379, Prod Code: 13, Brand Code: 79, Name: Verdurin, Stock Amount: 40, Is Basic product: 1
Aisle code: 021478, Prod Code: 14, Brand Code: 78, Name: Verdurin, Stock Amount: 47, Is Basic product: 1
Aisle code: 021577, Prod Code: 15, Brand Code: 77, Name: Verdurin, Stock Amount: 56, Is Basic product: 1
Aisle code: 021676, Prod Code: 16, Brand Code: 76, Name: Verdurin, Stock Amount: 50, Is Basic product: 1
Aisle code: 021775, Prod Code: 17, Brand Code: 75, Name: Verdurin, Stock Amount: 11, Is Basic product: 1
Aisle code: 083458, Prod Code: 34, Brand Code: 58, Name: Pilsen, Stock Amount: 25, Is Basic product: 0
Aisle code: 083557, Prod Code: 35, Brand Code: 57, Name: Bacardi, Stock Amount: 15, Is Basic product: 0
Aisle code: 083656, Prod Code: 36, Brand Code: 56, Name: JoseCuervo, Stock Amount: 40, Is Basic product: 0
Aisle code: 083755, Prod Code: 37, Brand Code: 55, Name: Smirnoff, Stock Amount: 35, Is Basic product: 0
Aisle code: 083854, Prod Code: 38, Brand Code: 54, Name: CasilleroDelDiablo, Stock Amount: 80, Is Basic product: 0
Aisle code: 092963, Prod Code: 29, Brand Code: 63, Name: Zaguatin, Stock Amount: 80, Is Basic product: 1
Aisle code: 093062, Prod Code: 30, Brand Code: 62, Name: Zaguatin, Stock Amount: 40, Is Basic product: 1
Aisle code: 093161, Prod Code: 31, Brand Code: 61, Name: Zaguatin, Stock Amount: 30, Is Basic product: 1
Aisle code: 093260, Prod Code: 32, Brand Code: 60, Name: Zaguatin, Stock Amount: 90, Is Basic product: 1
Aisle code: 093359, Prod Code: 33, Brand Code: 59, Name: Zaguatin, Stock Amount: 7, Is Basic product: 1
Aisle code: 113953, Prod Code: 39, Brand Code: 53, Name: Tosty, Stock Amount: 400, Is Basic product: 0
Aisle code: 114052, Prod Code: 40, Brand Code: 52, Name: Diana, Stock Amount: 100, Is Basic product: 0
Aisle code: 114151, Prod Code: 41, Brand Code: 51, Name: Doritos, Stock Amount: 200, Is Basic product: 0
Aisle code: 114250, Prod Code: 42, Brand Code: 50, Name: Lays, Stock Amount: 150, Is Basic product: 0
Aisle code: 127418, Prod Code: 74, Brand Code: 18, Name: LG, Stock Amount: 15, Is Basic product: 0
Aisle code: 127517, Prod Code: 75, Brand Code: 17, Name: Samsung, Stock Amount: 10, Is Basic product: 0
Aisle code: 127616, Prod Code: 76, Brand Code: 16, Name: Telstar, Stock Amount: 15, Is Basic product: 0
Aisle code: 127715, Prod Code: 77, Brand Code: 15, Name: Mabe, Stock Amount: 30, Is Basic product: 0
Aisle code: 127814, Prod Code: 78, Brand Code: 14, Name: Oster, Stock Amount: 40, Is Basic product: 0
Aisle code: 137913, Prod Code: 79, Brand Code: 13, Name: Lucecita, Stock Amount: 30, Is Basic product: 1
Aisle code: 137979, Prod Code: 79, Brand Code: 79, Name: PValidacion, Stock Amount: 5, Is Basic product: 1
Aisle code: 138012, Prod Code: 80, Brand Code: 12, Name: Lucecita, Stock Amount: 15, Is Basic product: 1
Aisle code: 138111, Prod Code: 81, Brand Code: 11, Name: H&H, Stock Amount: 40, Is Basic product: 1
Aisle code: 148210, Prod Code: 82, Brand Code: 10, Name: Garden, Stock Amount: 20, Is Basic product: 0
